prompt,completion
string,"糸 string
 (Eazy) + 小 (small size)
★★★★☆
6 strokes
SOLOSYMBOLIC
SYMBOLIC - most of the kanji that use this, have to do with connections between things. As if a metaphorical string was binding them.
Onyomi
Mnemonic
Eazy has a small string, which he likes to play with when he's down.

Kunyomi
いと	string
★☆☆☆☆
Used In
納 給 縛 絶 統 絵 縄 純 線 綿 細 索 紛 絹 系 結 緒 維 紫 練 繰 継 素 績 続 級 緑 締 織 緊 縮 終 編 絞 経 緩 紙 縁 縦 紳 約 組 繕 紹 総 絡 紅 紀 繁
Synonyms
rope
縄    糸    綱    命の綱 "
acquaint,"紹 acquaint
糸 (string) + 召 (summon)
★★★☆☆
11 strokes
SIDEKICK
Onyomi
SHOU	
as in :""Your boyfriend is hella hot. Acquaint us so I can SHOW him this porno I did. ""

Mnemonic
If I summon someone and make you their acquaintance, you two are now connected by a social string

Jukugo
ご 紹介しょうかい する	
introduce ★★★☆☆
紹 (acquaint) + 介 (introduce / intervene) = 紹介 (introduce )

introduce (someone or something to somebody else)

自己紹介じこしょうかい	
introduce yourself to a group. ★★☆☆☆
自己 (one's own) + 紹介 (introduce ) = 自己紹介 (introduce yourself to a group.)"
line,"線 line
糸 (string) + 泉 (spring) Same-ON
★★★★☆
15 strokes
Onyomi
SEN	
Mnemonic
SEND a line made of string from here to the spring. (it is some engineers at work)

Kunyomi
せん	a literal line, like what you'd draw. LAZY
★★☆☆☆
Jukugo
ｘｘｘ 線せん	
train line ★★★★☆ SUF

SUFFIX meaning, 'train line.' In NYC they got the A train, B train, etc. Japanese would call it A線、B線 etc

新幹線しんかんせん	
bullet train ★★★☆☆
新 (new) + 幹 (trunk) + 線 (line) = 新幹線 (bullet train)"
cotton,"綿 cotton
糸 (string) + 白 (white) + 市 (small city/dagger　radical)
★☆☆☆☆
14 strokes
SIDEKICK
Why bother?
Onyomi
MEN	
Mnemonic
MEN wear cotton cloth made from white string. Dagger? Who cares.

Kunyomi
わた	cotton plants
★☆☆☆☆
Jukugo
木綿豆腐もめんどうふ	
firm tofu ☆☆☆☆☆
木 (tree) + 綿 (cotton) + 豆腐 (tofu!) = 木綿豆腐 (firm tofu)

firm tofu. (the wimpy kind is called silk)"
slender,"細 slender
糸 (string) + 田 (rice field)
★★★☆☆
11 strokes
SOLO
Onyomi
SAI	
I SIGH because I can't get any more slender.

Mnemonic
Wrap the string once round the whole rice field and just contract it until the field gets slender.

Kunyomi
ほそ*い	slender 1/2 KANA
★★★☆☆
こま＊かい	detailed , small, delicate
★★★☆☆
Jukugo
詳細しょうさい	
details ★☆☆☆☆
詳 (expert) + 細 (slender) = 詳細 (details)

the details or particulars of a thing

細胞さいぼう	
cell ★☆☆☆☆
細 (slender) + 胞 (cell) = 細胞 (cell)

a cell, like an amoeba or a brain cell.

些細ささい な	
petty, insignificant ★☆☆☆☆

small, in the sense of petty or trifling, insignificant. Don't sweat the small stuff. Don't bother me with such trivial complaints. Here's a good phrase to learn: ""些細な事に気を使うな！”　（ささいなことにきをつかうな）= Don't worry about such trivial things!

Synonyms
details
細部    詳細    細かい   
feeble
軟弱    よわい か細い    衰弱    枯れる    衰    悪化する    廃れる   
germ
細菌    ばい菌   
pathos, misery, pitifulness
かわいいそうな 哀れな    惨めな    哀愁    心細い    悲惨な   
petty
些細    細かい    執念深い   
small or trifling
ささやか 小さい    些細    わずかな"
general　/ total,"総 general　/ total
心 (heart) + 糸 (string) + 公 (public)
★★★☆☆
14 strokes
BETA
Onyomi
SOU	
Mnemonic
I'll give SO much string to the general public , I'm sure to win their hearts.

Jukugo
総合そうごう	
overall/ integrated ★★☆☆☆
総 (general　/ total) + 合 (to suit) = 総合 (overall/ integrated)

integrated, overall, total, general thing (not just a movie theater, but a whole entertainment complex: video games, a bar, karaoke, etc.)(general car service - not just fixing the engine but also fixing tires, detailing the paint job, etc.)

総理そうり	
prime minister ★★☆☆☆
総 (general　/ total) + 理 (reason) = 総理 (prime minister)

the Prime Minister (of Japan or any other country that still has one)

総体的そうたいてき に　XXX	
as a whole, XXX. In general .. . XXX ★☆☆☆☆
総 (general　/ total) + 体 (body) + 的 (motivation / '-al') = 総体的 (as a whole, XXX. In general .. . XXX)

総合的そうごうてき な	
synthetic ★☆☆☆☆
総合 (overall/ integrated) + 的 (motivation / '-al') = 総合的 (synthetic)

総そう ｘｘｘ	
total xxx ★☆☆☆☆ PRE

PREFIX meaning, ""total amount of xxx"" (total score, total cholesterol, number of users)"
look up,"索 look up
十 (ten) +  (George Michael's Moustache) + 糸 (string)
★★☆☆☆
10 strokes
BETA
Onyomi
SAKU	
Rob Halford gets out his phone book, looking up some SAC to teabag with.

Mnemonic
I'll look up ten Moustaches, tied together with string.

Jukugo
検索けんさく	
internet search ★★★☆☆
検 (investigate) + 索 (look up) = 検索 (internet search)

索引さくいん	
index ★☆☆☆☆
索 (look up) + 引 (pull) = 索引 (index)

Lookalikes
Meaning	Hint	Radical
索	look up	TEN	十
策	take measures	BAMBOO	竹
You look up TEN ways to take measures against the BAMBOO growing in your lawn.

Synonyms
examination or investigation
調べる    検査    調査    検討    診断    査定    検索   "
to supply,"納 to supply
内 (the inside) + 糸 (string)
★★☆☆☆
10 strokes
DUPE
Onyomi
NOU, NATSU	
Mnemonic
NO! Even though it's summer (夏, pronounced NATSU), I won't supply you with string inside your butt (a thong). Just wear cutoffs, for god's sake!

Kunyomi
( を ) おさ＊める	a really narrow, yet weird word: to pay taxes/school fees/bribes; or to place something in the place it's supposed to be: swords in scabbards, mummies in tombs.
★☆☆☆☆
( が ) おさ＊まる	to be delivered
★★☆☆☆
Jukugo
納得なっとく	
consent ★★★☆☆ NP
納 (to supply) + 得 (bargain　/ obtain) = 納得 (consent)

give your consent. Often used in documents.

収納しゅうのう	
storage ★☆☆☆☆
収 (get) + 納 (to supply) = 収納 (storage)

storage - similar to the word 倉庫 (そうこ）, but 収納 is in the same building: the broom closet at your fast food restaurant is 収納 , but the shack in your backyard is 倉庫.

を　or の 納入のうにゅう する	
deliver/pay ★☆☆☆☆ NP
納 (to supply) + 入 (put/go in) = 納入 (deliver/pay)

to pay, supply or deliver - more formal than 配達（はいたう）

Lookalikes
Meaning	Hint	Radical
納	to supply	STRING	糸
柄	pattern	WOODEN	木
I'll supply you with STRING

so you can weave a WOODEN pattern with it.

Synonyms
assume a post
納まる    収まる   
consent
承る    承知する    肯定    承諾    納得   
deliver
配達    配る    納める    運ぶ    郵送    納入   
storage, warehouse
収納    蔵    倉庫   
to get/ to pay
収める    納める"
ambiguous,"紛 ambiguous
糸 (string) + 分 (understand / divide / minute)
★★☆☆☆
10 strokes
Onyomi
FUN	
To Japanese, it's FUN to give ambiguous answers to foreigners!!!

Mnemonic
String theory is too ambiguous to understand.

Kunyomi
まぎ＊らわしい	ambiguous
★★☆☆☆
( に ) まぎ＊れる	to mistake something for a similar thing, to get diverted off the main point, to be distracted, to . . . KANA
☆☆☆☆☆
Jukugo
気が紛れるきがまぎれる	
divert attention ★☆☆☆☆
気 (mood) + 紛 (ambiguous) = 気が紛れる (divert attention)

to divert one's attention from one's troubles

Lookalikes
Meaning	Hint	Radical
粉	powder	MINUTE	分
粒	grain	STAND	立
紛	ambiguous	STRING	糸
If you STAND on top of grain,
you'll grind it to powder in one MINUTE
STRING is too ambiguous to be a good mnemonic!

Synonyms
ambiguous
曖昧    紛らわしい    漠然   "
silk,"絹 silk
糸 (string) + 口 (mouth/small box radical) + 月 (moon/organ)
★☆☆☆☆
13 strokes
Onyomi
KEN	
KENNY's puffy orange jacket is made out of silk.

Mnemonic
Silk is a string that comes out of the organs in a worm's mouth.
Actually, it comes out the worm's butt, so if you want to picture the mouth rad as a butt hole that is ok, Mister Science.

Kunyomi
きぬ	silk
★☆☆☆☆
Jukugo
絹漉し豆腐きぬごしとうふ	
wack tofu ☆☆☆☆☆
絹 (silk) + 豆 (bean) + 腐 (rot) = 絹漉し豆腐 (wack tofu)

the soft tofu (AKA the wrong kind)"
"group, tribe","系 group, tribe
一 (one/line radical) + 糸 (string)
★★★★☆
7 strokes
BETA
Onyomi
KEI	
It's ok to like 'visual KEI' if you are member of that tribe.

Mnemonic
Everyone in the tribe is tied together with ONE string, making them ONE tribe.

Jukugo
XXX 系けい	
xxx-tribe ★★★☆☆ PRE

SUFFIX meaning, belonging to the tribe of XXX. like 'visual kei' uses this kanji. Other common tribes, akiba-kei, furugi-kei (vintage clothes fanatics), and elvis-kei. I mean, probably.

日系にっけい	
of Japanese descent ★★☆☆☆
日 (sun, day) + 系 (group, tribe) = 日系 (of Japanese descent)

'of Japanese descent'. Nikkei American is Japanese American. But you can be nikkei Brazilian or nikkei Azerbaijani too!

太陽系たいようけい	
solar system ★★☆☆☆
太陽 (the fucking sun!) + 系 (group, tribe) = 太陽系 (solar system)

体系的たいけいてき な	
systematic ☆☆☆☆☆
体 (body) + 系 (group, tribe) + 的 (motivation / '-al') = 体系的 (systematic)

systematic, and logical,like how dungeons and dragons takes all human attributes and assigns them a number.

Used In
孫 係 懸
Synonyms
systematic, methodical
系統    体系てきに    慎重に考える    思料深い    数量化   "
grandchild,"孫 grandchild
子 (child) + 系 (group, tribe)
★★☆☆☆
10 strokes
Onyomi
SON	
My grandSON is a child of our tribe.

Mnemonic
Kunyomi
まご	grandchild
★★☆☆☆
Jukugo
子孫しそん	
descendant ★★☆☆☆
子 (child) + 孫 (grandchild) = 子孫 (descendant)

Lookalikes
Meaning	Hint	Radical
係	be involved with	PERSON	人
孫	grandchild	CHILD	子
The grandchild is a CHILD, douchebag! But you are involved with a PERSON."
be involved with,"係 be involved with
 (personleft) + 系 (group, tribe) Same-ON
★★★☆☆
9 strokes
Onyomi
KEI	
It's OK to be involved with Death Row Records, providing that you like prison food.

Mnemonic
That person is involved with that tribe.

Kunyomi
( に ) かか＊わる	to be involved with, to get caught up in,(usually in a bad thing)
★★☆☆☆
Jukugo
関係かんけい	
related to ★★★★☆
関 (connected to) + 係 (be involved with) = 関係 (related to)

related to - a sysadmin job is コンピュータ関係

Lookalikes
Meaning	Hint	Radical
係	be involved with	PERSON	人
孫	grandchild	CHILD	子
The grandchild is a CHILD, douchebag! But you are involved with a PERSON."
dry out,"干 dry out
★★☆☆☆
3 strokes
PKSTRONGDUH
Onyomi
KAN	
It looks like a damn telephone pole, don't it?
So. . . . if you are tired of hentai salarimen sniffing your panties when you hang them in your backyard, you ""KAN"" HANG YOUR DAMN WET DRAWERS OUT TO DRY ON THE TOP OF THE PHONE POLE.

Mnemonic
Kunyomi
ほ*す	to dry, but only in the narrow sense of hanging laundry out to dry.
★★★☆☆
Jukugo
干渉かんしょう する	
interfere or meddle. ★★☆☆☆
干 (dry out) + 渉 (interfere) = 干渉 (interfere or meddle.)

梅干うめぼし	
pickled plums ★☆☆☆☆ KUNKUN
梅 (plum) + 干 (dry out) = 梅干 (pickled plums)

pickled plums! Oddly, they don't use the kanji for pickle.(漬). that would make too much sense.

Lookalikes
Meaning	Hint	Radical
千	thousand	TILTY	
干	dry out	FLAT	
'thousand' and 'dry out' look the same . ..except the top of thousand is tilted. So you can recite this fresh rhyme to jog your memory:

'I wear a thousand TILTY hats,

but I got to dry them out on a surface that is FLAT. '

Used In
刊 用 肝 芋 汗 宇 岸 幹 棒 軒 午 半
Synonyms
dry out
乾かす    干す    渇く   
meddle
余計なお世話だよ！    干渉   "
edition,"刊 edition
干 (dry out) +  (rightsword)
★☆☆☆☆
9 strokes
SUF
This a suffix which you can append to ANY time-related word (morning, night,day,month, week, year, etc).
It means ""this is how often this periodical is published""

Onyomi
KAN	
Mnemonic
Genghis KHAN published a weekly edition on how to dry out your sword.

It was astonishingly dull.

Jukugo
朝刊ちょうかん	
morning edition ★☆☆☆☆
朝 (morning) + 刊 (edition) = 朝刊 (morning edition)

月刊げっかん	
monthly ★☆☆☆☆
月 (moon) + 刊 (edition) = 月刊 (monthly)

夕刊ゆうかん	
evening edition ★☆☆☆☆
夕 (evening) + 刊 (edition) = 夕刊 (evening edition)
"
utilize,"用 utilize
 (George Michael's Moustache) + 干 (dry out)
★★★★★
5 strokes
literally 用 means ""utilize"", but it has a more sinister meaning: 'only'. As in, men only or Japanese only.
Onyomi
YOU	
If you want to communicate between Alpine peaks, you should utilize YODELING.

Mnemonic
George Michael utilized a blowdryer to dry out his moustache.

Kunyomi
もち＊いる	To use. (More formal/scientific than つかう） As in, ""Please use this pencil to complete the test. NP
★★★☆☆
Jukugo
用事ようじ	
errands ★★★★★
用 (utilize) + 事 (action/ incident) = 用事 (errands)

errands, chores, stuff to do. ""I'd love to come to see your performance piece, buttttt I've got 用事。”

XXX 用よう	
only for xxx's use ★★★★☆ SUF

SUFFIX meaning, only XXX can use this water fountain.

用意ようい する	
get set！！ ★★★☆☆
用 (utilize) + 意 (meaning) = 用意 (get set！！)

'get set' - basically it means the same as 準備 , but the nuance is a bit more abstract. : If you’re getting prepared mentally , that’s 準備(じゅんび） . If you’re arranging stuff over the phone, use 用意 . The ‘Get set!’ in ‘Get ready! Get set! Go!’ is 用意 .

利用りよう する	
utilize ★★☆☆☆
利 (handy) + 用 (utilize) = 利用 (utilize)

to utilize. Usually used in the sense of, 'Only students/Japanese/Scientologists can utilize this swimming pool.'　

Used In
角 備 再 
Synonyms
discreet, prudent
弁える    慎重    思慮深い    用心   
errands
用件    用事    事務   
idiom, expression
表現    慣用句    格言    ことわざ 方言    xxx弁   
prepare
手配    用意    準備    備える    xxxしておく 覚悟    構える   
smooth
巧みな    巧み    器用な    巧妙な    素早い    機敏    俊敏な   
use
使う    用いる    遣  "
liver,"肝 liver
月 (moon/organ) + 干 (dry out) Same-ON
★☆☆☆☆
7 strokes
Onyomi
KAN	
Mnemonic
Genghis KHAN likes to dry out your liver organ before he eats it.

Kunyomi
きも	chutzpah, courage, pluck. (Westerners of either sex believe that their daring and courage live in their balls. Japanese believe it lives in the liver/gallbladder area!)
★☆☆☆☆
Jukugo
肝臓かんぞう	
liver ★☆☆☆☆
肝 (liver) + 臓 (internal organ) = 肝臓 (liver)
"
potato,"芋 potato
 (flowertop) + 干 (dry out)
★☆☆☆☆
6 strokes
SOLO
Onyomi
Mnemonic
I dry out the potato flowers so make up your own damn mnemonic.

Kunyomi
いも	potato KANA
★★★☆☆
Jukugo
焼き芋やきいも	
roast potatoes ★☆☆☆☆ KANA
焼 (roast / grill) + 芋 (potato) = 焼き芋 (roast potatoes)

roast potatoes, a common thing sold at outdoor food carts.

さつま芋さつまいも	
sweet potato! ☆☆☆☆☆"
sweat,"汗 sweat
 (waterleft) + 干 (dry out) Same-ON
★★★☆☆
6 strokes
Onyomi
KAN	
you don't need to learn the onyomi.

Mnemonic
After a long day of pillage, Genghis KHAN sweat so much he lost water and became dried out.

Kunyomi
あせ	sweat - (to sweat = 汗をかく)
★★★★☆
Jukugo
汗臭いあせくさい	
to be stank because you sweat. ★★☆☆☆
汗 (sweat) + 臭 (stinky and dumb xxx!) = 汗臭い (to be stank because you sweat.)

Lookalikes
Meaning	Hint	Radical
汁	juice, soup	TEN	十
汗	sweat	DRY	干
I drink juices one through TEN, but I sweat until I'm DRY again."
cosmos,"宇 cosmos
 (crown) + 干 (dry out)
★☆☆☆☆
6 strokes
SIDEKICK
Onyomi
U	
The big bang that started the cosmos was really UUUUURUSAI!

Mnemonic
If you go out in the cosmos, make sure to wear a crown (helmet) otherwise you will dry out (as your blood boils and sprays out of your skull).

Jukugo
宇宙人うちゅうじん	
alien ★★★☆☆
宇宙 (outer space) + 人 (person) = 宇宙人 (alien)

宇宙うちゅう	
outer space ★★★☆☆
宇 (cosmos) + 宙 (space) = 宇宙 (outer space)

宇宙船うちゅうせん	
space ship ★☆☆☆☆ NEO
宇宙 (outer space) + 船 (ship) = 宇宙船 (space ship)

Lookalikes
Meaning	Hint	Radical
字	letter	CHILD	子
宇	cosmos	THOUSAND	千
学	knowledge	MOHICAN	
The CHILD can only write one letter.

There's a THOUSAND cosmoses in string theory.
The MOHICAN punker has a knowledge of @narchy."
thousand,"千 thousand
十 (ten) + 一 (one/line radical)
★★★★★
3 strokes
PNCOUNTER
Onyomi
SEN	
as in, ""SEND me a thousand yen. ""

Mnemonic
'thousand' (千) and 'dry out'(干) look the same . ..except the top of thousand is tilted, but the top of dry out is FLAT. So you can recite this fresh rhyme to jog your memory: 　

'I wear a THOUSAND tilty HATS,

but I got to dry them out on a surface that is FLAT. '

Jukugo
千円札せんえんさつ	
1,000 yen bill ★★★☆☆ COUNTER
千 (thousand) + 円 (yen/circle) + 札 (card / label / bill) = 千円札 (1,000 yen bill)

any money in paper form is a 'satsu' - a ten dollar bill is a $10 satsu, etc.

Lookalikes
Meaning	Hint	Radical
千	thousand	TILTY	
干	dry out	FLAT	
'thousand' and 'dry out' look the same . ..except the top of thousand is tilted. So you can recite this fresh rhyme to jog your memory:

'I wear a thousand TILTY hats,

but I got to dry them out on a surface that is FLAT. '

Used In
舌 挿"
tongue,"舌 tongue
千 (thousand) + 口 (mouth/small box radical)
★★★★☆
6 strokes
Onyomi
ZETSU	
Mnemonic
A thousand mouths speak with one tongue, and they all say:""Led ZEP'S TOO old-fashioned. Let's listen to something more cool, like Oasis."" Okay, maybe not a thousand. Maybe, like three.

Kunyomi
した	tongue
★★★★★
Jukugo
猫舌ねこじた	
no hot food for me! ★☆☆☆☆ KUNKUN
猫 (cat) + 舌 (tongue) = 猫舌 (no hot food for me!)

someone who doesn't like hot (like oven-hot, not spicy) food.

毒舌どくぜつ	
sharp-tongued ★☆☆☆☆
毒 (poison/ addict) + 舌 (tongue) = 毒舌 (sharp-tongued)

'poison tongue' - in English, we'd say a sharp tongue

Used In
話 活 辞 憩 乱"
conversation,"話 conversation
言 (say) + 舌 (tongue)
★★★★★
13 strokes
Onyomi
WA	
Mnemonic
Christopher WALKEN has a conversation with you using his tongue to pronounce words that he says.

Kunyomi
( と ) はな*す	to chat (BOOBOO; If you want to ask someone if they speak Japanese, Don't ever say ""nihongo hanaseru?""- that's strictly NOOB. say ""Nihongo SHABERU?"" instead)
★★★★★
はな＊し	a story. as in, 'Here's a little story I've got to tell. . . !'
★★★★★
Jukugo
電話でんわ	
telephone ★★★★★
電 (electricity) + 話 (conversation) = 電話 (telephone)

会話かいわ	
conversation ★★★★☆
会 (big meeting) + 話 (conversation) = 会話 (conversation)

英会話えいかいわ	
English conversation school ★★★★☆
英 (heroic) + 会話 (conversation) = 英会話 (English conversation school)

an English conversation school where nobody learns. Also, a place for housewives to meet shameless Australians.

話題わだい	
theme ★★☆☆☆
話 (conversation) + 題 (topic) = 話題 (theme)

a theme (of a book or show) topic (of conversation)

Synonyms
speak, talk
言う    話す    しゃべる 語る   
story, legend
逸話    昔話    物語    童話    伝説    神話    小説    語り    メルヘン
to take care
お世話    面倒みる "
"vivid, lively","活 vivid, lively
 (waterleft) + 舌 (tongue)
★★★★★
9 strokes
BETA
Onyomi
KATSU	
Mnemonic
Let thirsty CATS lick water with their tongue and they will become lively.

Jukugo
生活せいかつ	
lifestyle ★★★★★
生 (life / birth) + 活 (vivid, lively) = 生活 (lifestyle)

活動かつどう	
activity ★★★☆☆
活 (vivid, lively) + 動 (movement) = 活動 (activity )

activity - like 'Gang activity has increased in this area,' or, 'Her band's been really active this year,' etc.

で 活躍かつやく する	
active career ★☆☆☆☆
活 (vivid, lively) + 躍 (jump) = 活躍 (active career)

used in business or showbiz - to be doing a lot of things which are getting the notice of one's peer group. To suceed in making a name for one's self. To be going places. .

Synonyms
activity
活躍    活動    積極的   
rebirth
復活    再生    再来    新生    生かす    返り咲く  "
quit,"辞 quit
舌 (tongue) + 辛 (spicy / painful)
★★★☆☆
13 strokes
JERKDUPE
JERK- this means quit, retire, bow, flatter, and . .. um . . dictionary??
As usual, the one word most different from the others is the one word that is most often used.

Onyomi
JI	
Mnemonic
JESUS, my tongue is burning! Quit feeding me spicy food!

Kunyomi
や＊める	to quit 1/2 KANA
★★★★☆
Jukugo
辞書じしょ	
dictionary ★★★★☆
辞 (quit) + 書 (write) = 辞書 (dictionary)

お 世辞せじ	
flattery ★☆☆☆☆
世 (society) + 辞 (quit) = 世辞 (flattery)

Lookalikes
Meaning	Hint	Radical
辞	quit	TONGUE	舌
服	clothes	MONTH	月
報	data	FUN	幸
Wack MCs should quit talking with their TONGUE,

but wearing a uniform once a month can be FUN.

We're all HAPPY with the data about your MUM (she isn't pregnant).

Synonyms
bow
頷く    お辞儀    会釈する   
quit it
放っておけよ    よしてくれ いい加減にしろ    辞めてくれ   
quit
断つ    辞める    あきらめる"
break at work,"憩 break at work
舌 (tongue) + 息 (son / breath)
★★☆☆☆
16 strokes
Onyomi
KEI	
it's OK to take a break if you've been working for over 3 minutes.

Mnemonic
A break at work is when you catch your breath and talk to co-workers with your tongue.

Kunyomi
いこい	place for recreation and relaxation - 99% used in the following one expression: 憩いの場 (ikoi no basho).
☆☆☆☆☆
Jukugo
休憩きゅうけい	
break-time ★★☆☆☆
休 (rest) + 憩 (break at work) = 休憩 (break-time)

break at work OR break from studying/training. Just long enough to eat some food and stretch - usually 15 minutes to an hour. .

Synonyms
break or vacation
休み    休憩    休日    休暇 "
half,"半 half
干 (dry out) + 丶 (dot)
★★★★★
5 strokes
PREPKSTRONG
PREFIX - you can't use this willy-nilly, but if you see it before a noun, you know it means 'half of that noun.'
Onyomi
HAN	
HAN solo was half of the crew of the Millennium Falcon.

Mnemonic
HALF the dots are on the left side of 干, and HALF are on the right side!

Kunyomi
なか*ば	in the middle, halfway (mid-30s, middle of June, mid-century) KANA
★★☆☆☆
Jukugo
2時半にじはん	
2:30 ★★★★★
時 (time) + 半 (half) = 2時半 (2:30)

半分はんぶん	
one half ★★★★★
半 (half) + 分 (understand / divide / minute) = 半分 (one half)

半年はんとし	
half a year. ★★★★☆ KUN ON
半 (half) + 年 (year) = 半年 (half a year.)

半額はんがく	
half-price ★★★☆☆
半 (half) + 額 (amount of money / forehead) = 半額 (half-price)

half-price, half the amount.

Lookalikes
Meaning	Hint	Radical
半	half	HEAD	
平	equal / level	top is LEVEL	
only 半　（half) has a litle 'head' poking up. So say to yourself, The samurai cuts your head in HALF.

There IS no head poking up the top of ""level."" . . I guess you could say the top is LEVEL.

Used In
判 伴 平"
judgement,"判 judgement
半 (half) Same-ON + 刀 (sword)
★★★☆☆
7 strokes
This used to mean ""Official seal or stamp which stamps a document, making that document official."" I guess a lot of those documents were the judgements of the ruler, because nowadays the kanji just means ""to judge"".
Onyomi
HAN	
Mnemonic
HAN Solo judged the quality of his sword by cutting a Wookie in half.

Kunyomi
わか＊る	A lot of dictionaries still say 判る is a synonym of 分かる. Not really. Don't bother learning 判る.
☆☆☆☆☆
Jukugo
批判ひはん する	
criticism ★★★☆☆
批 (call bullshit on) + 判 (judgement) = 批判 (criticism)

criticism, like ""I call bullshit on the government!"" or ""I call bullshit on your opinion of an athlete!""

判断はんだん する	
judge ★★★☆☆
判 (judgement) + 断 (decision/judgement/refuse) = 判断 (judge)

to judge, to deliver a verdict - but also judge like 'I wouldn't wear that skirt if I was her.'

判子はんこ	
seal ★★★☆☆ KUN ON
判 (judgement) + 子 (child) = 判子 (seal)

The little stamps that people here use instead of signatures on official documents.

評判ひょうばん	
reputation ★★☆☆☆
評 (art or literary criticism) + 判 (judgement) = 評判 (reputation)

Lookalikes
Meaning	Hint	Radical
伴	accompany	PERSON	人
判	judgement	SWORD	刀
The PERSON accompanies you because he's your buddy.
I say you owe me fi' dollas, and my SWORD makes it official.

Synonyms
criticize
批判    非難(批難)   
judge someone
偏見    判断    先入観    判決    裁く    審査   "
accompany,"伴 accompany
 (personleft) + 半 (half) Same-ON
★★☆☆☆
7 strokes
Onyomi
HAN / BAN	
HAN Solo has been BANNED from accompanying wookies into the men's room.

Mnemonic
Half the people accompany the other half.

Kunyomi
( に　・　を　・　が　 ) ともな*う	accompany, in both literal and figurative sense: Bill accompanies Doug. But also, rain accompanies high winds at this time of year (notice how it doesn't care about cause and effect)
★★☆☆☆
Jukugo
同伴どうはん する	
accompany ★★☆☆☆ NP
同 (same) + 伴 (accompany) = 同伴 (accompany)

Accompany. This is like 伴う（ともなう）、but

a) limited to people , not situations.

b) it's more formal than 伴う. You'll see 同伴 on signs like, ""Persons under 18 must be accompanied by a parent to this film,"" and things like that.

Lookalikes
Meaning	Hint	Radical
伴	accompany	PERSON	人
判	judgement	SWORD	刀
The PERSON accompanies you because he's your buddy.
I say you owe me fi' dollas, and my SWORD makes it official.

Synonyms
accompany
伴う    同伴する    添える    添付   "
equal / level,"平 equal / level
半 (half)
★★★★☆
5 strokes
PK
Onyomi
HEI	
Racists HATE equality. it might seem to be a cheap shot to make fun of racists in 2010, but seriously fuck these people.

Mnemonic
Unlike 半, the top of 平 is flat, or level, and it means 'level.' So, that's how you remember it.

Kunyomi
たい＊ら ( な )	flat
★★☆☆☆
Jukugo
平気へいき	
ok? ★★★★★ KIDS
平 (equal / level) + 気 (mood) = 平気 (ok?)

it's ok with me. Usually phrased as a question, as in, 平気？ ""Is that ok with you?"" This is only used by young people - more often young women.

平和へいわ	
peace ★★★☆☆
平 (equal / level) + 和 (peace/ Japan) = 平和 (peace)

平日へいじつ	
weekday ★★★☆☆
平 (equal / level) + 日 (sun, day) = 平日 (weekday)

公平こうへい	
fairness (opp. 不公平:ふこうへい) ★★☆☆☆
公 (public) + 平 (equal / level) = 公平 (fairness (opp. 不公平:ふこうへい))

平等びょうどう に	
impartial, even ★☆☆☆☆ FP
平 (equal / level) + 等 (equal /etc./plural) = 平等 (impartial, even)

impartial, even-steven. (to cut the cake into equal pieces, to treat your adopted kids and your biological kids equally)

Lookalikes
Meaning	Hint	Radical
半	half	HEAD	
平	equal / level	top is LEVEL	
only 半　（half) has a litle 'head' poking up. So say to yourself, The samurai cuts your head in HALF.

There IS no head poking up the top of ""level."" . . I guess you could say the top is LEVEL.

Used In
評 呼
Synonyms
equality, fairness
公平    平等    等量    同等    均等    等しい   
ok, fine
了解    順調    平気   
quiet or peaceful
穏やか    平穏    静か    安静"
art or literary criticism,"評 art or literary criticism
言 (say) + 平 (equal / level)
★★☆☆☆
12 strokes
BETA
Onyomi
HYOU	
""HE'S YOUR worst enemy."" is a kind of criticism of him.

Mnemonic
Art criticism is saying if you think the artwork is equal to the classics of the genre.

Jukugo
評価ひょうか する	
price estimate ★☆☆☆☆
評 (art or literary criticism) + 価 (value) = 評価 (price estimate)

estimate the price of something, jewels, comic books, etc.

評論ひょうろん	
critique ★☆☆☆☆ NP
評 (art or literary criticism) + 論 (make a case for) = 評論 (critique)

critique of an entire genre. More often literary (novels, plays, poems) Usually used as a noun. Art Critic: 評論者　（ひょうろんしゃ）。

批評ひひょう する	
review ☆☆☆☆☆ NP
批 (call bullshit on) + 評 (art or literary criticism) = 批評 (review )

review of one specific performance (showbiz event, exhibition, play, etc.) More commonly used as a verb.

Synonyms
art or literary criticism.
批評する    評論"
call to someone,"呼 call to someone
口 (mouth/small box radical) + 平 (equal / level)
★★★★☆
6 strokes
Onyomi
KO	
Mnemonic
I call KODOMOs (子= KO ) with my mouth and they call me back equally loudly.

Kunyomi
( を or に ) よ＊ぶ	to call to your friends, on the street. Also, calling the police or ambulance.
★★★★☆
( に ) よ＊ばれた	To be named, or to be called . If your Pops is sometimes called Twana, you'd say,'パパがTwanaに 呼ばれた。' 1/2 KANA
★★★★☆
Jukugo
呼吸こきゅう する	
respiration ☆☆☆☆☆ NP
呼 (call to someone) + 吸 (suck) = 呼吸 (respiration)

Doctors' word for breathing. (most people just say 息（いき））

Lookalikes
Meaning	Hint	Radical
咲	bloom	HORNY	
呼	call to someone	EQUAL	平
When flowers bloom, it means they are HORNY (pollen and all that), but

I call my EQUALS 'homey.'

Synonyms
breathe
息    呼吸   "
